permalink, category
sqlbulkcopy, api
batchsize, api
bulkcopytimeout, api
columnmappings, api
destinationtablename, api
enablestreaming, api
notifyafter, api
writetoserver, api
writetoserverasync, api
sqlrowscopied, api
